Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.026689   471.231361   1491.274942   2757.062448   3833.062314
0.032939   476.715444   1562.308540   2845.200066   3785.746660
0.039189   475.207822   1581.408823   2906.027367   4557.781604
0.045439   462.278511   889.457217   2792.491023   3882.239542
0.051689   325.621936   460.677749   2789.077932   3862.090152
0.057939   469.350754   2727.561786   3922.482230   4611.825194
0.064189   348.630330   474.553765   2596.482462   3738.750841
0.070439   461.876274   2434.449493   3600.239500   4927.335353
0.076689   426.303240   2404.334189   3748.667705   4752.456825
0.082939   433.687767   1870.490775   3388.243935   4137.445333
0.089189   404.625747   2905.712602   3602.562055   4707.736519
0.095439   270.549885   687.159182   3161.026115   3920.646105
0.101689   251.946930   1347.852085   3235.767599   4392.090770
0.107939   241.625465   1191.111026   3237.673135   4480.160758
0.114189   265.008785   1185.269392   3227.817586   4503.984301
0.120439   294.264225   1052.922381   3093.706564   4547.935609
0.126689   325.067505   532.863073   2854.489774   4121.947893
0.132939   364.994860   462.864902   2873.452367   4261.230822
0.139189   422.087875   571.770982   3154.150830   4645.053804
0.145439   431.156781   911.373369   3217.968424   4756.467627
0.151689   453.317874   1030.917982   3239.131398   4681.031874
0.157939   479.337309   1069.939356   3300.671920   4699.249843
0.164189   484.296258   1098.228728   3332.856713   4745.043605
0.170439   472.132402   1082.377249   1329.066927   3389.184633
0.176689   477.218553   1066.460820   1478.465042   3351.429208
0.182939   489.914450   1060.411329   1581.123076   3267.138750
0.189189   509.206515   1014.331754   1632.393755   3232.872100
0.195439   516.795670   1051.498275   1644.190080   3187.166394
0.201689   521.338017   1183.216226   1656.946385   3150.647531
0.207939   525.191468   1375.806060   1692.704198   3097.336384
0.214189   543.132428   1610.728523   1626.553192   3080.617757
0.220439   554.926172   1600.827325   1882.163498   3063.034070
0.226689   564.457511   1605.428340   2264.442507   3049.469045
0.232939   564.618166   1623.761601   2505.596782   3126.630450
0.239189   573.567707   1663.425700   2572.942857   3150.828329
0.245439   565.842920   1702.031055   2596.374351   3215.838837
0.251689   550.077402   1731.326889   2655.824024   3242.108369
0.257939   539.183216   1775.153313   2665.916695   3246.346530
0.264189   524.870146   1824.688609   2694.259756   3270.323785
0.270439   567.353251   1782.043955   2630.815608   3272.257965
0.276689   566.831140   1779.408303   2620.362369   3260.417295
0.282939   539.705393   1822.262755   2624.748322   3259.932503
0.289189   534.721129   1820.355655   2604.128604   3249.667198
0.295439   490.580240   1817.506897   2572.690570   3232.813566
0.301689   456.610015   1800.625555   2531.645536   3218.038152
0.307939   458.684173   1910.453766   2536.515280   3223.809704
0.314189   454.826592   1810.836564   2555.515813   3263.378629
0.320439   450.613738   1785.878870   2515.838284   3280.365961
0.326689   352.634233   1769.795232   2244.465635   3222.257196
0.332939   357.956451   1532.689234   2478.980797   3321.960834
0.339189   372.734950   1606.147156   2523.898510   3310.943655
0.345439   393.782294   1645.378079   2542.391820   3246.742872
0.351689   378.868884   1601.583867   2393.477876   3180.836674
0.357939   995.572972   2247.370740   3127.032982   3856.363384
0.364189   744.569643   2202.983545   3125.407034   3896.246891
0.370439   832.175970   2244.182173   3172.529559   3910.926351
0.376689   221.116851   1265.428374   2387.343059   3255.742009
0.382939   313.664577   1474.955614   2276.823460   3144.844941
0.389189   306.598235   1620.516270   2305.479764   3313.286139
0.395439   280.497800   1278.650360   2325.795105   3209.497700
0.401689   383.195265   1398.286198   2228.459544   3139.883855
0.407939   372.533327   1481.505535   2094.020278   3147.495152
0.414189   265.342822   1354.154821   2241.874996   3264.631400
0.420439   349.684186   1590.278983   2198.189716   3400.021149
0.426689   333.911083   1692.837744   2355.116902   3669.130033
0.432939   291.816739   1409.576209   2229.898640   3730.104180
0.439189   332.351825   2169.447566   3133.991794   4851.682996
0.445439   531.623769   558.245672   2446.760949   3125.563234
0.451689   470.610552   964.496961   2467.542279   3102.202524
0.457939   524.438266   992.502426   2465.784431   3096.533536
0.464189   532.717524   1020.790404   2454.935057   3088.306992
0.470439   531.082174   1061.592495   2448.126101   3079.233841
0.476689   531.714612   1075.681870   2419.006897   3051.191100
0.482939   532.228795   1092.465912   2449.022614   3033.181781
0.489189   534.049539   1071.640620   2501.398925   3044.148637
0.495439   527.442191   1052.575609   2449.998975   3056.994420
0.501689   549.011109   1018.476308   2445.523445   3048.643363
0.507939   564.325471   1069.291068   2418.366193   3060.673442
0.514189   571.729452   1044.944630   2424.512013   3065.525070
0.520439   570.732823   980.146796   2482.095560   3043.691188
0.526689   569.840667   977.615756   2487.491049   3040.306839
0.532939   562.836120   1012.868243   2471.647497   3046.169420
0.539189   555.641048   1077.540187   2484.693985   3032.279725
0.545439   548.503821   1065.211079   2445.118606   3033.727198
0.551689   550.384513   1022.396543   2468.480498   3079.646729
0.557939   538.912295   1030.539952   2459.611678   3054.938199
0.564189   522.439190   1032.228958   2443.273786   3026.131025
0.570439   515.677150   1065.771217   2416.882533   3041.141794
0.576689   500.381411   1069.290578   2412.366060   3068.279863
0.582939   470.825405   1062.163612   2463.511575   3060.428229
0.589189   446.600204   1040.797471   2473.813127   3133.029864
0.595439   424.028599   1003.689930   2427.487715   3492.667560
0.601689   346.591481   1014.492328   2461.833958   3448.271482
0.607939   394.064297   1013.323393   2449.150389   3333.537514
0.614189   396.816411   990.215161   2394.701161   3588.184008
0.620439   426.164299   1043.322168   2435.897494   3665.006472
0.626689   433.511671   1059.390628   2509.172681   3528.722996
0.632939   446.723030   1058.990844   2581.826383   3917.025358
0.639189   462.644922   1059.825285   2592.471187   3891.901608
0.645439   500.806077   991.682369   2559.590782   3786.988103
0.651689   505.313819   985.866684   2536.305202   3871.222487
0.657939   494.114806   1025.012573   2600.614531   3836.969139
0.664189   499.541346   1034.336109   2499.953927   3770.791056
0.670439   494.357012   1020.947910   2568.578731   3833.025655
0.676689   515.101184   1001.396891   2600.483511   3883.296522
0.682939   514.491008   1018.087015   2545.589464   3784.159711
0.689189   503.229408   1056.887333   2604.644746   3734.398954
0.695439   495.422484   1060.259751   2717.128755   3664.792856
0.701689   501.559658   1096.776363   2724.235080   3669.324954
0.707939   505.277473   1093.611396   2568.897568   3720.305888
0.714189   502.251579   1179.598029   2616.502023   3684.724165
0.720439   500.092601   1255.883097   2605.762466   3798.143383
0.726689   490.015892   1285.213136   2759.327239   3824.056477
