Time_s   F0_Hz
0.051689   94.278287
0.061689   94.844717
0.071689   93.555972
0.081689   91.880155
0.091689   119.981153
0.101689   115.528550
0.111689   117.507172
0.121689   118.010761
0.131689   118.236747
0.141689   117.620485
0.151689   118.382053
0.161689   117.843422
0.171689   118.166990
0.181689   118.006838
0.191689   117.163324
0.201689   116.211032
0.211689   115.287973
0.221689   114.192757
0.231689   113.482649
0.241689   112.510475
0.251689   112.132783
0.261689   111.555406
0.271689   110.975576
0.281689   110.726691
0.291689   110.364241
0.301689   110.535441
0.311689   110.493319
0.321689   110.192948
0.331689   110.533202
0.341689   110.680950
0.351689   110.180368
0.361689   107.919524
0.371689   107.772196
0.381689   106.332198
0.391689   104.905410
0.401689   103.070900
0.411689   100.775608
0.421689   99.739559
0.431689   99.463729
0.441689   102.990248
0.451689   105.113539
0.461689   101.999862
0.471689   99.677063
0.481689   99.180105
0.491689   98.381999
0.501689   96.492272
0.511689   95.414066
0.521689   95.643103
0.531689   95.785895
0.541689   96.229480
0.551689   95.911231
0.561689   96.524951
0.571689   97.466247
0.581689   98.133721
0.591689   98.210982
0.601689   98.633429
0.611689   98.092971
0.621689   97.365860
0.631689   97.243996
0.641689   96.107802
0.651689   95.846867
0.661689   96.122745
0.671689   95.955479
0.681689   96.448390
0.691689   95.329756
0.701689   94.930442
