Time_s   Intensity_dB
0.067356   46.020559
0.078023   49.207580
0.088689   52.195320
0.099356   54.589073
0.110023   55.082209
0.120689   54.920015
0.131356   55.385435
0.142023   56.243633
0.152689   58.210479
0.163356   60.397340
0.174023   62.085154
0.184689   63.329093
0.195356   64.221649
0.206023   64.766960
0.216689   64.889621
0.227356   64.528560
0.238023   63.818463
0.248689   62.954351
0.259356   61.959688
0.270023   61.349519
0.280689   61.357983
0.291356   61.057853
0.302023   60.617590
0.312689   60.212293
0.323356   59.725704
0.334023   59.541915
0.344689   59.297838
0.355356   58.924573
0.366023   58.858233
0.376689   58.655477
0.387356   57.921852
0.398023   56.977504
0.408689   56.082837
0.419356   56.092526
0.430023   57.263421
0.440689   58.892997
0.451356   60.324247
0.462023   61.027730
0.472689   61.724892
0.483356   62.244289
0.494023   62.246166
0.504689   62.223027
0.515356   62.578028
0.526023   62.689454
0.536689   62.128581
0.547356   61.632887
0.558023   61.259734
0.568689   60.185961
0.579356   58.509864
0.590023   56.928809
0.600689   55.305384
0.611356   53.742059
0.622023   52.126687
0.632689   50.482790
0.643356   48.944546
0.654023   47.627859
0.664689   46.587631
0.675356   45.138343
0.686023   43.128117
0.696689   41.333160
