,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,sid,token,target,filename
0,38.72469,0.07477345,37.18876,38.4797,40.44019,3.251423,37.94022,15.84932,206.4527,360.7595,0.4096574000000001,0.5163797999999999,0.2111419,0.3859092,0.5882556,0.3771137,5.487913,2.772103,5.275576999999998,2.848066,0.1833927,0.6281167,18.73326,0.8027124,10.52069,1.304518,7.572035,1.962388,-4.375561,-3.278681,0.02344139,1.1477,0.9088202,0.8583291,10.06159,0.3481736,19.31452,0.6503208,21.89401,0.4784170999999999,530.5169999999998,0.3946284,1226.236,0.2324557,-79.00346,-1.113559,1590.281,0.1671228,784.5121,0.40707,-65.53321,-1.06374,2636.545,0.09577356,703.0072,0.4602398,-67.30154,-1.01458,-16.12119,-0.486312,24.37623,0.35321040000000004,0.04157038,0.867909,-0.01498864,-0.6436309,0.2023187,0.5728681999999999,24.18615,0.4174863,8.214763,1.525709,7.750072,2.055495,-7.2101479999999984,-2.001652,-6.364767,13.05844,-0.02008551,-0.002821505,0.1312534,6.017192,2.325582,0.32375,0.27914770000000005,0.08625,0.05611094,-36.04536,VFP10,Speech1,1,VFP10_Speech1
1,41.11026,0.121323,37.82011,40.29837,42.8622,5.042088,65.27183000000001,67.44999,107.0295,136.1246,0.3526362,0.7726189,0.09133786,0.2762972,0.6434019,0.552064,5.773097,3.043491,5.736364,3.096833,0.1652273,1.078465,16.27722,0.8860904000000001,4.175593,2.418372,4.164841,4.175746,-1.238956,-10.89371,0.03304271,0.955943,1.110513,1.005039,8.546047,0.6107354,10.09568,1.0193450000000002,16.71051,0.9525595,609.8846,0.4751361,1317.956,0.2568752,-141.0261,-0.6089514,1612.576,0.2121249,900.705,0.3956616,-111.6526,-0.7914873,2706.25,0.15580020000000006,773.9065,0.492648,-113.5015,-0.7629425999999999,-9.636793,-1.066963,20.837020000000006,0.5496749,0.03147539,1.370808,-0.011556100000000001,-0.9407929,0.2817235,0.6568814000000001,21.47814,0.7854754,2.7294560000000003,4.197899,-2.20629,-9.858141,-11.92161,-0.8578177,-10.49263,18.57218,-0.0308445,-0.001600856,0.05794366,3.724928,1.749271,0.2716666,0.260411,0.2766666,0.2944298,-37.11591,VFP10,Speech2,1,VFP10_Speech2
2,40.64695,0.1031095,38.43892,40.61772,43.04973,4.610809,70.1897,41.75834,143.798,158.403,0.4550298,0.5952142,0.1938088,0.4147606,0.7716345,0.5778255999999999,5.88063,3.201431,4.344426,2.60569,0.1921516,0.6858426999999999,16.00158,0.9087471,1.617499,10.0167,2.1342950000000003,6.868225,0.1894507,55.62525,0.02992433,1.7596169999999998,1.051071,0.9792672,9.214264,0.5335156,9.66062,1.029315,16.85061,0.6594948,631.3687,0.33522329999999995,1214.071,0.3019228,-101.1385,-0.9022003,1638.225,0.14449979999999998,934.1242,0.3693191,-82.60665999999998,-0.9876373,2679.333,0.1069683,783.9202,0.4067261,-86.69166,-0.9056883,-10.90204,-0.9250761,20.16452,0.5499318,0.02640193,1.569013,-0.007046945,-1.733416,0.2322379,0.5477068,22.32532,0.4556227,-3.063484,-4.47724,-0.4153506,-36.92786,-2.41169,-4.179638,-8.437313,16.16711,-0.02684432,-0.003204183,0.118944,5.157593,3.498543,0.175,0.1682013,0.1188889,0.07936476,-36.20234,VFP10,Speech3,1,VFP10_Speech3
3,30.43643,0.2711361,21.39732,35.07611,37.9958,16.598470000000002,520.0115,754.8349,113.2329,72.07719,0.3612488,0.4472257000000001,0.2008806,0.3506357,0.4942576,0.293377,3.5059410000000004,1.580694,2.9919,1.5998059999999998,0.1522792,0.5611944000000001,17.098860000000002,0.5716674,9.49913,0.9387974,15.01322,1.09495,-1.6329049999999998,-6.753133,0.06165179,1.476092,1.32319,0.675948,4.7971330000000005,1.021562,7.1063589999999985,2.069486,17.30584,0.7150877,495.4891,0.4468915,1164.115,0.2141019,-108.6223,-0.8356901,1611.846,0.1725994,685.3447,0.6166924,-96.16886,-0.8570646999999999,2652.961,0.09765616,725.8063,0.5414211,-96.83107,-0.8470536,-14.94906,-0.359614,23.91982,0.3194715,-0.003509858,-9.07953,-0.01571102,-0.6242396,0.1755818,0.4537177,21.2535,0.3901664,12.48416,0.5470640999999999,13.903479999999998,1.263885,-0.7549471,-14.33707,-9.696174,18.68855,-0.03588892,-0.006140626,0.116599,3.724928,3.197675,0.1745455,0.154176,0.1163636,0.09373781,-40.33198,VFP11,Speech1,1,VFP11_Speech1
4,32.120059999999995,0.2419614,22.38828,35.72247,37.69841,15.31013,1028.641,954.4598,159.64700000000005,112.486,0.3836305,0.4138642,0.2418841,0.3552054,0.5277084,0.28582440000000003,4.263408,3.172111,3.038845,1.653884,0.1513693,0.4752068,12.93016,0.9578301,9.103159,0.9681213,20.51338,0.6330315,-2.29266,-4.604483,0.05497236,1.229439,1.6491919999999998,0.8171090999999999,5.639021,0.8295976999999999,13.27085,1.035262,17.27562,0.6843503000000001,444.5576,0.28436009999999995,1154.101,0.2088668,-115.8951,-0.7616895,1595.626,0.13773870000000002,596.899,0.6414101,-108.2417,-0.7440095,2653.475,0.07108776,772.4484,0.5352766,-107.2779,-0.7591114999999999,-14.97639,-0.4071755,22.52378,0.3111707,-0.0100574,-2.957649,-0.01451309,-0.6637973,0.17621199999999998,0.3978298,19.65244,0.4150143,12.04264,0.7268161999999999,21.6109,0.6718314000000001,-2.279478,-4.844434,-7.212510000000001,14.82589,-0.0466125,-0.00608532,0.1188889,5.7306589999999975,4.081633,0.1214286,0.1076275,0.1208333,0.1788136,-39.28465,VFP11,Speech2,1,VFP11_Speech2
5,33.023309999999995,0.1831975,28.93252,35.39912,36.35218,7.419657000000001,346.0433,315.1518,113.7593,102.2235,0.3659724,0.4574140999999999,0.2213836,0.3165264,0.5034789000000001,0.2820953,3.49086,2.2187080000000003,2.694897,1.613714,0.13878010000000002,0.4531953,14.710720000000002,0.813329,6.5721669999999985,1.504969,13.09233,0.9068409,3.206069,3.092794,0.06651289,1.146132,1.58749,0.6178686,4.571522,0.8481793,7.704328,2.510382,18.0163,1.130502,493.6324,0.4151868,1191.178,0.16708370000000006,-110.1971,-0.8408238000000001,1520.0770000000002,0.17259720000000006,840.6357,0.4195864,-102.0319,-0.8334950999999999,2678.462,0.08996319,711.0366,0.5593305000000001,-104.6074,-0.7895864,-13.10227,-0.5242334,23.71147,0.33850820000000004,-0.008116017,-3.349905,-0.005601716,-1.865621,0.1655588,0.3821398,21.26754,0.4046908,9.36314,1.033358,7.768258,1.441686,1.668977,6.851553,-7.951025,14.97784,-0.04834074,-0.0047830270000000005,0.1062957,3.724928,2.332362,0.23,0.32031240000000005,0.2383333,0.348062,-41.30606,VFP11,Speech3,1,VFP11_Speech3
12,23.98355,0.27507459999999995,16.552529999999994,26.97471,30.14716,13.59463,302.4893,398.3762,150.5589,103.2646,0.23346220000000004,0.594903,0.1074762,0.2068946,0.3360597,0.2285835,3.789081,1.879298,2.812568,1.250342,0.1361927,0.9185551,21.42212,0.6587134,10.73927,1.0664,16.22701,0.7817407,6.851477,2.51182,0.09917499,1.349921,1.739497,0.7190701,1.548692,3.480871,5.243561,5.122188,22.92989,1.062173,565.9707,0.4173882,1183.358,0.1887705,-98.12218,-0.9399815,1696.1070000000002,0.1832818,823.885,0.403923,-105.4729,-0.7938588000000001,2725.613,0.1430622,896.553,0.3565412,-106.8147,-0.7729553000000001,-18.72286,-0.3986853,26.17341,0.3016016,0.009310097,4.3905910000000015,-0.01624312,-0.8157741,0.1948551,0.6941626000000001,30.60486,0.2610011,12.64325,0.9688359,19.67266,0.7077286,5.170948,4.255271,-11.63762,22.07428,-0.03759091,2.7662790000000005e-05,0.06258803,4.87106,2.616279,0.2066666,0.16165810000000005,0.1555555,0.1810531,-41.95762,VFP14,Speech1,1,VFP14_Speech1
13,27.34665,0.3866748,16.398770000000006,29.94206,33.05972,16.66094,478.7299,458.5169,76.40163000000003,115.4851,0.2454535,0.7013043000000001,0.08973060000000001,0.1670162,0.4335743,0.3438437,3.5926660000000004,2.152547,2.902293,2.244753,0.1487002,0.8414146,22.83847,0.6190395000000001,7.976938,1.648224,7.81566,1.504258,0.7294222,20.91959,0.0996998,1.163331,1.823755,0.6188064999999999,1.070767,3.719381,-2.399741,-9.388186,19.47933,1.315171,634.9739,0.34611190000000003,1247.766,0.2410124,-122.9248,-0.7391983,1691.954,0.22628,1071.066,0.2814761,-121.5832,-0.7011672,2788.356,0.132249,825.7512,0.3995508,-124.0348,-0.6662343000000001,-17.24611,-0.6982679,28.206740000000003,0.438435,-0.006113623,-6.698498,-0.02336995,-0.7563562,0.2471691000000001,0.442276,31.07286,0.4933205,12.54066,1.1595,7.2901539999999985,1.955863,-4.629775,-3.807081,-15.4107,27.05933,-0.04851719,-0.003232808,0.07429205,4.011461,2.325582,0.17625,0.2280317,0.1977778,0.2378504,-40.63294000000001,VFP14,Speech2,1,VFP14_Speech2
14,26.09662,0.2610736,17.14309,29.3978,32.05123,14.90815,338.3551,428.3304,142.4498,117.2114,0.2465338,0.692336,0.08937363,0.2072634,0.3910199,0.3016463,3.897015,2.239795,4.038023,1.925103,0.1362369,0.8238804,17.81524,0.8130027,8.296889,1.327046,11.54882,0.9200894,7.3571339999999985,1.619995,0.08809933,1.216592,2.12679,0.5818791,0.3773697,12.41921,6.698175,1.293175,25.04343,0.35281440000000003,528.0306,0.4801141,1189.986,0.17661400000000002,-134.9563,-0.6546468000000001,1537.821,0.2133894,937.8064,0.2988581,-139.0129,-0.5850698000000001,2548.214,0.15127639999999998,774.8846,0.2536743,-140.9121,-0.55912,-15.36329,-0.4610834,24.7714,0.3224081,0.01947655,2.231236,-0.01240243,-0.8647469999999999,0.2269273,0.4824364,30.06774,0.2508339,6.226007,1.921793,11.34629,1.033786,3.4416290000000003,5.055211,-12.698,22.35508,-0.04008199,-0.001965814,0.08734416,4.011461,3.2069970000000003,0.1036364,0.07010029,0.2277778,0.2076202000000001,-42.42943,VFP14,Speech3,1,VFP14_Speech3
15,35.72849,0.08561399,34.24668,35.54725,36.83532,2.588642,331.9597,540.7574,33.35004,54.08921,0.6403731,0.6239114,0.2637421,0.5993970999999999,0.9934895,0.7297474,8.953633,5.461037,5.5876160000000015,2.897777,0.2401036,0.8533919,22.06171,0.6892775999999999,10.56731,1.124305,8.420923,1.827245,-10.37719,-1.669945,0.01694877,1.936003,0.7753486999999999,1.107722,10.91809,0.34263530000000003,4.3764949999999985,2.241229,23.38614,0.5225524,633.6923,0.2430894,1259.402,0.206285,-77.11761,-1.130803,1738.626,0.1840684,823.0962,0.6073420999999999,-83.76769,-0.9364084,2829.965,0.1102549,683.2921,0.5573348000000001,-85.97663,-0.8884889000000001,-18.46604,-0.4485300999999999,27.28026,0.3856131,0.05071704,0.6756307,-0.03114563,-0.4111292,0.286736,0.6938866,28.7361,0.3880207000000001,12.09008,0.9989944,8.13828,2.121233,-15.94511,-1.088305,-7.537745,15.8246,-0.02896452,-0.008630056,0.1388036,3.805073,1.809651,0.3659259,0.3145515,0.1666667,0.1750979,-29.414990000000003,VFP15,Speech1,1,VFP15_Speech1
